Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Anderson-Sanchez,lindacarroll@williams-kirby.org,"08465 Charles Rapids Suite 479, East Rodneyton, GA 58781",35.55,6,81.25,1,798,6.0,9,13.25,6.22,20.0,Not Approved
"Johnson, Rodgers and Fowler",alisha86@james.biz,"269 Webster Port, West Kylestad, MD 30019",32.56,19,90.59,0,816,12.75,3,16.53,2.47,20.0,Approved
"Wright, Carlson and Becker",smithjessica@yahoo.com,"55536 Wall Courts Suite 722, Hollyberg, HI 54843",6.15,1,62.62,3,650,14.98,17,17.38,9.41,16.59,Not Approved
Moore-Miller,hesterhoward@hotmail.com,"PSC 6637, Box 8426, APO AP 97581",24.94,16,93.46,1,845,7.18,8,20.5,4.42,20.0,Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",37.55,8,87.38,1,840,12.48,10,18.28,3.34,20.0,Approved
Ray and Sons,williamscarl@hotmail.com,"8125 Robyn Mission, Lake Tina, NH 29571",31.32,12,81.99,1,825,7.7,6,18.09,3.83,20.0,Approved
Davis Group,paullee@robertson.com,"1109 Warren Forges Apt. 753, Lake Brittany, AL 88966",16.25,2,98.27,0,761,5.97,7,18.07,5.48,20.0,Not Approved
Kent and Sons,jimmy81@gmail.com,"4971 James Villages Suite 378, South Catherine, MO 70583",35.74,12,96.53,1,805,12.95,10,18.64,9.29,20.0,Approved
"Daugherty, Robinson and Mcconnell",gonzalezrichard@yahoo.com,"5577 Jessica Village, South Alice, KS 20753",36.45,10,93.35,0,824,5.38,3,18.5,2.17,20.0,Approved
Pope-Francis,jlawrence@carroll-williams.org,"215 Lawrence Cliff Apt. 424, Candacestad, ID 13182",37.26,14,80.71,3,650,7.1,6,17.52,8.15,20.0,Not Approved
Conway PLC,alexandriacarlson@yahoo.com,"848 Moss Key, North Brendaview, AR 08423",16.44,7,51.96,2,650,6.71,10,22.2,8.72,20.0,Not Approved
"Ingram, Lowe and Smith",sonya79@patton-reed.biz,"5509 Christopher Tunnel, North Sheri, VT 88876",47.53,8,85.76,1,650,11.32,19,9.79,2.2,14.08,Not Approved
Lucas-Hill,xgordon@gmail.com,"PSC 0456, Box 4932, APO AA 16777",37.91,9,56.0,3,650,10.77,5,14.39,7.18,10.75,Not Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",29.77,13,96.19,1,801,12.67,8,16.84,7.31,20.0,Approved
"Skinner, Rivera and Hawkins",nmaxwell@long.biz,"631 Powell Mountain, Ericfort, DC 77465",18.96,15,61.32,0,650,3.62,10,24.24,8.13,20.0,Not Approved
"Patterson, Smith and Li",dominiqueharrell@rodriguez-williams.org,"Unit 9243 Box 4830, DPO AE 28876",24.91,3,92.47,1,650,10.07,6,12.38,3.33,13.46,Not Approved
Hayden and Sons,robinjames@jones-rodriguez.com,"1789 Beltran Falls, Williamsview, TN 12643",40.11,19,89.83,0,837,6.67,7,15.33,2.09,20.0,Approved
Osborn and Sons,fletcheralexander@gmail.com,"54324 Thomas Villages, Samanthafort, OR 33117",22.91,12,75.9,3,650,13.56,17,13.14,7.26,20.0,Not Approved
Watkins Inc,robert19@vargas.com,"8034 Holloway Spring, South Jessica, IN 50317",43.44,2,90.98,2,650,6.54,17,6.29,6.84,9.44,Not Approved
Thomas LLC,hspence@garcia.com,"0133 Weber Fort Apt. 842, West Marymouth, RI 11763",33.31,12,89.49,1,833,6.0,7,19.95,3.04,20.0,Approved
Harris-Watkins,mathewmartin@yahoo.com,"491 Tracy Ranch Apt. 122, Gonzalezside, KS 02475",16.4,8,90.48,1,796,9.42,15,8.3,7.55,20.0,Not Approved
Mclaughlin-Berry,andrewgrant@simmons-robertson.com,"0916 Smith Station, West Lori, KS 50307",35.31,9,86.59,1,839,5.78,4,19.78,4.05,20.0,Approved
Williams Inc,newmankeith@edwards.net,"7497 David Trail, Lake Brianview, NC 96769",6.04,7,79.1,1,755,5.74,4,20.35,8.99,20.0,Not Approved
"Kelly, Leonard and Byrd",jennifer33@garcia.biz,"580 Alyssa Bypass Apt. 622, New Duaneberg, CT 01768",27.03,6,95.07,1,847,6.54,5,19.15,6.69,20.0,Approved
"Wright, Carlson and Becker",smithjessica@yahoo.com,"55536 Wall Courts Suite 722, Hollyberg, HI 54843",6.15,1,62.62,3,650,14.98,17,17.38,9.41,16.59,Not Approved
"Skinner, Rivera and Hawkins",nmaxwell@long.biz,"631 Powell Mountain, Ericfort, DC 77465",18.96,15,61.32,0,650,3.62,10,24.24,8.13,20.0,Not Approved
Carson-Collins,scott23@johnson-gutierrez.org,"855 Troy Skyway, Gallagherbury, CA 53719",26.78,7,96.16,2,650,10.01,3,7.28,7.08,11.12,Not Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.18,11,99.39,0,821,4.91,4,15.33,8.57,20.0,Approved
Duncan PLC,jennifer31@villanueva.org,"409 Brendan Oval Apt. 670, Lake Eric, DE 55629",24.77,16,88.69,1,831,6.36,9,17.61,9.31,20.0,Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",39.28,14,82.38,1,814,12.48,1,17.04,4.73,20.0,Approved
Harrell PLC,qmiller@gmail.com,"7904 Ronald Harbor, East Mariaborough, ME 67629",24.09,6,84.37,1,826,10.29,10,23.92,8.89,20.0,Approved
Hodges Ltd,fwhite@yahoo.com,"468 Denise Flat Apt. 414, East Michaelfurt, NH 96457",36.2,14,85.11,1,819,7.25,4,18.96,1.1,20.0,Approved
Erickson-Davis,ole@yahoo.com,"61405 Daniel Union Suite 375, South Vernonchester, CO 86653",49.78,18,83.98,1,800,12.22,4,18.34,3.83,20.0,Approved
Wright and Sons,wgonzalez@salinas.org,"166 Steven Fords Apt. 166, West Hayleyview, VT 16478",45.73,19,58.78,2,733,8.9,10,5.89,2.52,13.28,Not Approved
Tucker-Moore,matthew49@hotmail.com,"7508 Wilson Street, Huntchester, AL 87948",33.1,11,80.25,0,836,6.56,2,16.17,8.38,20.0,Approved
Salas-Kramer,williamsteresa@yahoo.com,"Unit 9314 Box 6589, DPO AA 82255",22.96,11,53.83,1,765,5.5,15,7.91,6.09,20.0,Not Approved
Hays-Wells,eugene82@yahoo.com,"238 Christina Camp Suite 130, Cherylview, IN 98955",36.41,16,95.02,0,816,9.27,8,17.48,4.72,20.0,Approved
Hawkins-Greene,rebecca38@robertson-rocha.info,"45752 David Dam, Port Zachary, AZ 72495",49.1,17,95.93,1,815,8.82,9,18.72,3.75,20.0,Approved
"Salazar, Knight and Newman",qstephens@gmail.com,"86670 Lauren Manors Apt. 945, West Davidton, WI 87752",45.94,15,97.62,0,803,14.51,2,19.27,5.35,20.0,Approved
Rivers Group,darinmoore@sanchez-anderson.com,"3892 Ashley Walk Apt. 500, South Melissa, IN 46644",30.26,7,89.11,0,820,9.56,3,23.16,9.19,20.0,Approved
Henry-Curtis,melinda03@gmail.com,"3793 Arias Lights Apt. 133, Port Ashleymouth, OR 07303",47.04,7,82.58,0,818,14.24,6,16.31,4.46,20.0,Approved
"Hall, Riley and Weber",veronicamontoya@hotmail.com,"8075 Patricia Rapids Apt. 042, South Holly, VA 06983",7.44,13,98.04,1,650,5.67,1,15.28,5.39,14.73,Not Approved
Nelson and Sons,jonesjohn@brown-johnson.biz,"621 Fleming Views, New Elizabethville, UT 18045",34.53,18,90.57,1,829,12.96,10,21.2,9.03,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",20.69,7,94.07,1,847,10.83,6,22.56,3.1,20.0,Approved
Whitehead-Brooks,adamsstephanie@wilson.info,"128 Cunningham Expressway Suite 266, West Jennifer, MD 84696",16.04,9,95.78,3,683,5.7,5,22.95,3.37,19.35,Not Approved
"Webb, Howard and Rivera",singhcory@yahoo.com,"471 Jennifer Station Suite 625, Port Jimmy, ND 81508",39.93,14,81.28,3,650,3.98,17,5.65,7.35,20.0,Not Approved
Cannon and Sons,kylenelson@gmail.com,"07825 Morgan Heights, South Williambury, PA 79273",25.12,5,89.73,0,831,12.44,7,24.07,5.19,20.0,Approved
"Chapman, Crawford and Kelley",ashley60@turner-phillips.org,"8281 Jill Canyon, Curtismouth, AK 63164",40.94,16,89.96,3,765,14.23,18,20.34,9.0,20.0,Not Approved
Dean-Williamson,vasquezvictoria@gmail.com,"46713 Bush Mills Suite 598, North David, VA 96107",29.01,16,85.56,0,802,13.64,1,17.37,2.81,20.0,Approved
"Jackson, Phillips and Nguyen",erinvaldez@fisher-white.info,"84760 Charles Parks Suite 231, Beverlyton, MI 88650",48.08,10,85.43,0,846,14.74,10,23.84,4.33,20.0,Approved
"Jones, Booker and Johnson",smoore@cole.com,"54513 Thompson Haven, Justinmouth, ND 34017",21.18,6,87.07,1,835,8.98,2,18.78,5.05,20.0,Approved
Odom Group,milesjulia@jackson.biz,"36317 Brandon Prairie Apt. 662, Jasonburgh, WA 57576",36.72,17,84.96,0,820,10.5,1,20.87,7.93,20.0,Approved
Morse Inc,justin78@yahoo.com,"11241 Gregory Isle Suite 759, Jenniferfurt, OH 07983",26.37,7,81.81,0,820,7.38,5,20.82,9.21,20.0,Approved
"Ferguson, Tucker and Gonzalez",brooke27@hotmail.com,"11569 Vanessa Lock, East Larryhaven, WV 65770",40.43,13,84.35,1,652,11.68,1,6.26,2.64,20.0,Not Approved
Nunez PLC,hbrown@gmail.com,"6229 Roberts Estate Suite 445, South Debra, OH 94831",35.23,8,98.05,1,826,4.56,10,22.65,4.02,20.0,Approved
"Delacruz, Carey and Meyer",jgoodman@yahoo.com,"3307 Joel Camp, South Terrihaven, VT 33477",23.66,9,98.15,0,829,7.83,6,19.39,3.57,20.0,Approved
Carson-Collins,scott23@johnson-gutierrez.org,"855 Troy Skyway, Gallagherbury, CA 53719",26.78,7,96.16,2,650,10.01,3,7.28,7.08,11.12,Not Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Kim PLC,gary41@gmail.com,"9127 Smith Shore, Andrewstad, AL 53546",29.58,12,81.52,1,821,10.38,5,21.01,2.46,20.0,Approved
"Gilbert, Jacobson and Smith",briansalinas@gmail.com,"33448 Page Ferry, Victoriatown, CT 73121",30.02,14,83.42,0,832,5.71,8,17.28,2.43,20.0,Approved
Robbins-Rodgers,bdixon@gmail.com,"6490 Mckenzie Extensions, North Marialand, AZ 32356",21.2,13,83.5,0,803,8.99,5,15.93,7.09,20.0,Approved
Ray and Sons,williamscarl@hotmail.com,"8125 Robyn Mission, Lake Tina, NH 29571",31.32,12,81.99,1,825,7.7,6,18.09,3.83,20.0,Approved
"Parker, Carey and Reese",whitepeggy@hotmail.com,"1684 Stephen Forges, Brendachester, WA 85633",21.45,19,85.61,0,804,9.96,8,21.41,1.83,20.0,Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Carrillo-Nguyen,brittanygraham@hotmail.com,"667 Jennifer River Suite 143, East Staceytown, KS 20955",28.8,10,86.98,1,821,6.18,8,22.17,1.81,20.0,Approved
Pierce and Sons,joe05@hotmail.com,"8849 Cook Street Apt. 122, Jeremyborough, SC 95864",39.18,5,97.72,2,650,10.12,16,22.46,6.9,18.87,Not Approved
"Reed, Chavez and Vasquez",ericrogers@gmail.com,"78775 Andrea Falls, North Amanda, NV 19067",34.14,16,91.95,0,822,14.16,10,24.5,6.22,20.0,Approved
"Smith, Hunt and Mcmahon",meyerstimothy@yahoo.com,"877 Ramirez Village, Lake Heatherside, WY 64294",34.51,8,78.39,1,650,6.46,10,5.9,2.02,11.79,Not Approved
Lee Group,whitney21@yahoo.com,"7154 Brandon Lake Apt. 924, Schmittmouth, MA 02724",48.74,7,89.71,1,837,11.05,5,17.49,4.57,20.0,Approved
"Li, Rogers and Williamson",qparrish@gmail.com,"81236 Ashley Highway, Lake Jasonfurt, NM 71004",49.51,17,92.72,0,841,9.57,10,24.35,9.93,20.0,Approved
Juarez-Farrell,stephenslarry@walker.com,"781 Roberts Station Apt. 423, Harrisonmouth, DE 02363",29.74,14,89.76,0,825,4.23,9,22.36,6.8,20.0,Approved
"Moore, Taylor and Miller",carolstein@hotmail.com,"1122 Gary Via Suite 375, Brianchester, KS 39552",43.19,17,97.27,3,650,8.78,7,8.95,7.27,20.0,Not Approved
"Moore, Taylor and Miller",carolstein@hotmail.com,"1122 Gary Via Suite 375, Brianchester, KS 39552",43.19,17,97.27,3,650,8.78,7,8.95,7.27,20.0,Not Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Walsh-Perry,melinda50@hotmail.com,"8905 Troy Landing Apt. 721, New Traci, OR 01125",49.01,16,84.52,1,818,10.68,5,22.88,3.67,20.0,Approved
Walsh-Perry,melinda50@hotmail.com,"8905 Troy Landing Apt. 721, New Traci, OR 01125",49.01,16,84.52,1,818,10.68,5,22.88,3.67,20.0,Approved
Cross Ltd,sarah97@parker.com,"601 Barry Place, North Jenniferport, NE 86069",39.46,17,90.66,0,830,10.71,10,15.48,2.63,20.0,Approved
Hernandez-Sullivan,roger34@coleman.com,"13690 Wilkerson Heights Suite 053, Lake Dana, SD 62574",38.13,13,88.45,0,800,7.81,10,19.62,8.05,20.0,Approved
Erickson-Davis,ole@yahoo.com,"61405 Daniel Union Suite 375, South Vernonchester, CO 86653",49.78,18,83.98,1,800,12.22,4,18.34,3.83,20.0,Approved
"Lewis, Williams and Matthews",timothy56@lee.org,"87043 Aaron Harbors, Bakermouth, ID 49821",35.01,6,87.86,1,817,14.45,8,16.91,3.48,20.0,Approved
"Chapman, Crawford and Kelley",ashley60@turner-phillips.org,"8281 Jill Canyon, Curtismouth, AK 63164",40.94,16,89.96,3,765,14.23,18,20.34,9.0,20.0,Not Approved
Lopez-Vasquez,patriciabradshaw@yahoo.com,"4687 Elizabeth Glens, Lake Roger, WV 77486",45.42,9,83.08,1,841,4.38,9,21.26,8.89,20.0,Approved
Young Ltd,alyssamueller@jensen.com,"28871 David Lane, New Lisa, NJ 88841",40.71,14,83.99,0,849,7.02,1,17.83,4.65,20.0,Approved
Blair Group,nhale@gmail.com,"58591 Davis Ville Apt. 675, West Shawnborough, DE 52400",20.5,15,74.81,2,736,6.79,1,8.0,9.99,13.51,Not Approved
"Salas, Morrow and Reed",alison96@coleman.com,"387 David Ports Suite 552, South Catherine, OH 42550",36.16,18,85.07,0,830,6.82,9,21.44,7.53,20.0,Approved
"Martinez, Howe and Smith",cwells@yahoo.com,"65837 Fisher Neck, South Gerald, DC 13067",23.22,8,99.8,0,830,13.11,5,19.4,9.91,20.0,Approved
"Smith, White and Norman",hendersonmatthew@wallace-roberts.net,"1758 Dennis Alley Apt. 066, Bentleyton, OH 69059",26.87,7,86.45,0,839,3.38,6,20.33,9.53,20.0,Approved
Owens PLC,josephjulie@hotmail.com,"3742 Jones Isle Suite 841, Scottmouth, ME 87628",42.55,8,92.3,1,844,3.42,10,21.35,6.82,20.0,Approved
"Garner, Jackson and Wilson",grayanna@mata.org,"871 Stacy Gardens, Douglasborough, NJ 87276",27.78,9,80.29,1,842,14.04,3,21.83,7.15,20.0,Approved
"Patterson, Mendez and Cooke",jamie98@gmail.com,"8195 Thompson Brooks Suite 925, Danielfort, CA 78848",42.12,9,90.46,1,822,7.9,8,17.95,6.86,20.0,Approved
Brown-Anderson,scottmelissa@gmail.com,"USNS Greer, FPO AE 03282",35.16,10,82.66,0,831,11.89,3,22.96,7.66,20.0,Approved
Smith-Hale,rkim@baker-montgomery.net,"869 Jill Circle, South Chad, SC 14881",21.8,10,81.46,0,818,3.91,8,24.64,3.4,20.0,Approved
Le Ltd,chaneydwayne@hotmail.com,"USS Holt, FPO AA 87869",42.94,5,81.06,1,827,5.28,5,20.72,5.88,20.0,Approved
Mcdonald Inc,vstrickland@gmail.com,"342 Rebecca Square, West Cynthialand, VA 82656",20.76,11,88.46,0,814,12.07,1,18.33,6.32,20.0,Approved
Guerra and Sons,dmitchell@gmail.com,"084 Thomas Throughway, Fowlershire, OK 82567",49.31,9,81.71,1,844,8.06,8,20.52,4.56,20.0,Approved
Daniels-Krueger,andrew20@yahoo.com,"9824 John Burg Apt. 827, Montgomerystad, RI 96017",14.73,18,78.6,3,650,5.02,6,9.4,6.12,15.03,Not Approved
Bautista-Woods,ivaughn@hotmail.com,"995 Francisco Extensions Suite 280, Smithton, IL 58316",39.53,14,76.64,3,650,3.46,18,15.13,5.98,11.91,Not Approved
Ramirez-Harrington,johnwagner@gmail.com,"98575 Grimes Park, Sandovalshire, ND 44655",38.98,3,95.83,3,703,11.27,6,11.95,9.48,19.7,Not Approved
"Martin, Rose and Mullins",yangjeremy@hotmail.com,"108 Brewer Rest Apt. 902, Yorkberg, NE 33841",36.3,16,66.67,0,739,3.13,8,21.31,1.13,20.0,Not Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Owens PLC,josephjulie@hotmail.com,"3742 Jones Isle Suite 841, Scottmouth, ME 87628",49.77,11,87.74,1,800,3.42,5,21.24,4.65,20.0,Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",24.07,10,95.24,0,812,12.53,10,20.47,8.13,20.0,Approved
"Kelly, Leonard and Byrd",jennifer33@garcia.biz,"580 Alyssa Bypass Apt. 622, New Duaneberg, CT 01768",36.65,6,87.38,0,814,6.54,8,16.1,4.14,20.0,Approved
Sloan-Richardson,charris@lindsey.biz,"920 Joseph Common Suite 923, Brettbury, OH 09354",24.86,13,63.52,3,714,7.04,19,9.05,9.76,20.0,Not Approved
"West, Jacobs and Mcmahon",preynolds@ashley.net,"67132 Warren Highway, West Richardland, OR 75669",28.57,2,60.02,3,731,12.39,7,13.88,1.22,20.0,Not Approved
Nolan Ltd,leahcook@fisher-anderson.net,"175 Natalie Knoll Suite 051, South Micheleshire, GA 65765",12.44,1,88.76,1,650,3.72,10,24.15,3.14,20.0,Not Approved
"Greene, Bauer and Jackson",uweber@hotmail.com,"0925 Jose Camp Apt. 793, Robertsonfort, DE 23771",31.27,10,77.16,3,786,3.79,15,14.73,3.43,13.73,Not Approved
Olson PLC,xrivera@yahoo.com,"448 Bauer Falls Suite 948, Forbesville, MN 48378",38.65,17,92.65,0,816,3.8,9,19.93,6.67,20.0,Approved
Pineda Inc,fischermichelle@hotmail.com,"95868 Alyssa Freeway, Sandraville, CT 04165",26.11,15,95.46,0,803,13.84,3,17.0,9.58,20.0,Approved
Sanchez-Herrera,christopherkramer@gmail.com,"27321 Pitts Landing Suite 632, South Dustinmouth, WV 15045",15.61,7,80.6,2,650,14.86,19,14.02,5.89,17.66,Not Approved
"Castillo, King and Brown",zsanders@browning-miller.net,"627 Hale Lights Apt. 062, Hugheston, IA 03007",25.66,9,92.86,3,776,4.81,6,21.03,3.19,6.4,Not Approved
"Chase, Peters and Reed",wongjames@yahoo.com,"2783 Butler View Apt. 348, Kaylamouth, AZ 57016",5.91,17,63.78,3,800,5.0,6,13.1,6.69,14.34,Not Approved
Wright-Robbins,ileon@yahoo.com,"1658 Linda Meadow Suite 732, North Tracybury, WY 29288",21.06,10,86.5,0,650,3.52,13,17.76,6.05,14.21,Not Approved
Torres Inc,colin29@leonard.com,"3852 Randall Cliff, Lake Thomasfurt, NJ 18141",36.51,10,97.97,1,838,12.91,10,24.14,2.96,20.0,Approved
"Brock, Davis and Robertson",davidjohnson@hale.com,"0835 Torres Bridge, New Deborahstad, NY 44318",35.08,1,97.34,1,650,11.49,3,12.96,3.02,20.0,Not Approved
Cook and Sons,xlogan@rangel.com,"412 Sims Pass, Vanessamouth, ID 58581",28.15,6,83.37,3,650,8.21,7,7.04,1.47,20.0,Not Approved
"Salas, Morrow and Reed",alison96@coleman.com,"387 David Ports Suite 552, South Catherine, OH 42550",34.73,5,84.42,0,822,6.82,2,16.41,1.21,20.0,Approved
Osborn and Sons,fletcheralexander@gmail.com,"54324 Thomas Villages, Samanthafort, OR 33117",22.91,12,75.9,3,650,13.56,17,13.14,7.26,20.0,Not Approved
Jones Group,fwalton@gmail.com,"87805 Miller Roads Suite 356, Graybury, TN 99138",45.23,12,94.62,1,818,14.27,5,17.23,7.74,20.0,Approved
"James, Hoffman and Schmidt",colemaneric@gmail.com,"7597 Ortiz Lake, Port Andrea, ND 72492",34.89,12,94.49,1,839,6.83,9,24.65,6.44,20.0,Approved
Warren-Liu,lori24@wright.net,"Unit 5313 Box 3319, DPO AA 67171",16.93,9,66.46,3,650,4.01,3,15.58,6.4,20.0,Not Approved
Bonilla and Sons,dtaylor@odom-thomas.com,"599 Richard Meadows, Bergburgh, OR 53713",38.27,17,98.15,0,847,13.61,8,24.48,1.85,20.0,Approved
Clark Group,moorejames@hotmail.com,"3585 Patricia Mountain, Briannaville, TN 17459",42.49,16,82.53,1,840,3.49,9,24.2,7.55,20.0,Approved
"Mclaughlin, Murphy and Lynn",vsmith@hotmail.com,"841 Gregory Ports Suite 247, Johnsonfort, IA 01699",34.99,14,88.87,0,808,5.29,4,19.87,7.18,20.0,Approved
Brown-Anderson,scottmelissa@gmail.com,"USNS Greer, FPO AE 03282",33.2,16,81.29,1,847,11.89,4,15.57,1.55,20.0,Approved
"Smith, Aguirre and Walsh",waltergreen@yahoo.com,"91332 Sarah Islands, Jessicaville, TN 85257",47.47,15,80.93,0,807,3.63,4,18.04,5.33,20.0,Approved
"Paul, Hill and Smith",piercethomas@strong.com,"57935 Grant Islands Suite 051, New Timothyville, AZ 62657",23.71,17,54.99,3,812,8.64,16,24.74,3.0,20.0,Not Approved
"Roberts, Tanner and Higgins",lmcpherson@spencer.biz,"103 Jason Locks, East Christopher, ID 42584",36.8,14,97.75,1,822,6.81,1,20.67,5.42,20.0,Approved
Gomez-Noble,baileymichelle@gmail.com,"3337 Scott Circles, Brittanymouth, TX 23058",24.38,18,99.56,1,803,14.33,4,16.11,9.19,20.0,Approved
"Jenkins, Hayes and Johnson",frankdonovan@sherman.com,"861 Travis Vista, Wrightfurt, FL 16619",45.8,11,93.64,0,832,5.51,10,16.31,2.92,20.0,Approved
"Vega, Garner and Ward",michaelsmith@hotmail.com,"9389 Davis Crossroad, North Martin, UT 84504",46.81,3,57.93,2,650,14.75,1,17.62,4.19,20.0,Not Approved
Bell-Cooper,melissa23@cooper.net,"62185 Mendoza Park, Karenchester, KS 35788",23.63,8,71.87,2,778,4.81,2,9.46,8.68,20.0,Not Approved
Simmons-Lee,timothy10@gmail.com,"1658 Smith Estates, Port Adriennemouth, GA 93874",21.86,7,93.16,0,839,6.37,7,15.9,4.56,20.0,Approved
Mccoy Group,alvarezphilip@stark.info,"333 James Lodge, Davistown, MT 31466",13.64,13,80.03,3,778,4.83,4,6.05,2.48,20.0,Not Approved
"Gilbert, Jacobson and Smith",briansalinas@gmail.com,"33448 Page Ferry, Victoriatown, CT 73121",30.02,14,83.42,0,832,5.71,8,17.28,2.43,20.0,Approved
"Ford, Scott and Garcia",luis12@lynn.org,"07755 Zamora Park Suite 384, Schwartzland, NJ 73016",46.97,9,97.58,1,810,4.51,2,16.25,7.31,20.0,Approved
Clark LLC,jacobsjoanna@gibbs-mcdonald.info,"3581 Linda Crest, Campbellborough, HI 30249",20.82,15,95.55,0,816,13.66,3,24.81,4.2,20.0,Approved
"Martinez, Garcia and Costa",jonathan45@andrews.net,"48350 Kevin Hill Suite 412, Danielchester, NY 22835",40.34,15,81.97,1,832,13.35,7,22.33,8.58,20.0,Approved
Hood-Meyers,phernandez@keller.net,"712 Williamson Freeway Apt. 153, South Stephen, MD 70549",43.15,13,96.85,2,777,5.07,14,24.56,1.79,7.79,Not Approved
"Cummings, Anderson and Brewer",douglas47@yahoo.com,"62604 Pittman Road, Port Brenda, DE 45007",40.79,19,78.26,2,666,8.79,10,18.14,1.86,20.0,Not Approved
"Martin, Myers and Drake",duanelevine@gmail.com,"191 Collins Fort, Brucestad, IA 08987",22.74,14,94.24,1,845,7.62,8,21.78,9.7,20.0,Approved
Jones Group,fwalton@gmail.com,"87805 Miller Roads Suite 356, Graybury, TN 99138",33.88,11,97.81,1,844,14.27,2,15.51,9.03,20.0,Approved
Rodriguez-Ross,dayala@gmail.com,"3313 Dominguez Bridge, South Margaret, NM 57510",11.37,19,69.08,0,757,8.55,7,24.23,9.73,20.0,Not Approved
"Ayers, Gonzales and Schroeder",debra28@curtis.net,"594 Chase Camp, Port Emilychester, IA 97029",29.96,13,86.4,0,817,10.77,2,22.91,8.77,20.0,Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",47.46,13,84.76,1,802,14.07,7,16.2,7.24,20.0,Approved
Gutierrez-Cortez,johnstonjoseph@hotmail.com,"61294 Jeffrey Ridges Apt. 405, Lake Marie, NM 57792",26.72,10,80.3,1,821,9.52,10,24.13,6.6,20.0,Approved
"Salas, Morrow and Reed",alison96@coleman.com,"387 David Ports Suite 552, South Catherine, OH 42550",36.16,18,85.07,0,830,6.82,9,21.44,7.53,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",37.55,8,87.38,1,840,12.48,10,18.28,3.34,20.0,Approved
Wise-Bowen,hebertkevin@grimes.net,"197 Shawn Lake, Lake Dennischester, AR 21589",26.32,2,71.67,1,650,6.35,10,24.3,1.36,10.5,Not Approved
Adams and Sons,brettduncan@yahoo.com,"5843 Green Underpass Suite 622, Whiteheadton, NV 19212",49.07,14,89.78,1,650,7.85,9,23.42,9.16,5.12,Not Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.84,9,92.41,1,842,4.91,2,16.61,3.65,20.0,Approved
Morse Inc,justin78@yahoo.com,"11241 Gregory Isle Suite 759, Jenniferfurt, OH 07983",32.7,8,83.24,0,815,7.38,4,18.48,2.6,20.0,Approved
"Smith, Aguirre and Walsh",waltergreen@yahoo.com,"91332 Sarah Islands, Jessicaville, TN 85257",47.47,15,80.93,0,807,3.63,4,18.04,5.33,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",48.26,16,92.76,1,831,4.6,7,18.65,5.49,20.0,Approved
"Patterson, Smith and Li",dominiqueharrell@rodriguez-williams.org,"Unit 9243 Box 4830, DPO AE 28876",24.91,3,92.47,1,650,10.07,6,12.38,3.33,13.46,Not Approved
"Clark, Arroyo and Huff",juliagriffin@hotmail.com,"97901 Sandoval Trail Suite 602, Glennfurt, UT 03417",47.46,11,83.99,3,706,6.03,10,6.41,7.54,16.65,Not Approved
"Martin, Rose and Mullins",yangjeremy@hotmail.com,"108 Brewer Rest Apt. 902, Yorkberg, NE 33841",36.3,16,66.67,0,739,3.13,8,21.31,1.13,20.0,Not Approved
